utc_time_id,source_id,primary_link_source_flag,avg_speed,avg_flow,avg_occ,avg_freeflow_speed,avg_travel_time,high_quality_samples,samples_below_100pct_ff,samples_below_95pct_ff,samples_below_90pct_ff,samples_below_85pct_ff,samples_below_80pct_ff,samples_below_75pct_ff,samples_below_70pct_ff,samples_below_65pct_ff,samples_below_60pct_ff,samples_below_55pct_ff,samples_below_50pct_ff,samples_below_45pct_ff,samples_below_40pct_ff,samples_below_35pct_ff,samples_below_30pct_ff,samples_below_25pct_ff,samples_below_20pct_ff
16/02/2016 4:02,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20/02/2016 3:35,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
18/08/2016 0:44,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
31/07/2016 13:11,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
04/07/2016 21:59,402270,9,0.05,78,12,0.0694,71,5,0.03,71,3,0.02,71,,,,,,,,,,,,
25/05/2016 16:34,402264,15,0.09,90,12,0.12,60,13,0.2,56,,,,,,,,,,,,,,,
13/07/2016 10:17,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
01/07/2016 18:33,402265,9,0.06,71,9,0.06,71,4,0.03,65,,,,,,,,,,,,,,,
12/02/2016 18:08,402266,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
30/06/2016 18:59,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
17/08/2016 23:16,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
04/01/2016 18:14,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
02/06/2016 23:48,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
02/06/2016 11:02,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
24/03/2016 15:46,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
20/05/2016 0:29,402264,6,0.03,109,6,0.03,78,4,0.02,71,,,,,,,,,,,,,,,
11/04/2016 12:03,402260,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
01/07/2016 9:27,402264,11,0.06,100,11,0.08,71,7,0.1,65,,,,,,,,,,,,,,,
13/07/2016 6:18,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
02/06/2016 16:37,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
16/02/2016 20:17,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
03/01/2016 8:10,402272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
04/07/2016 23:22,402264,9,0.04,122,11,0.06,71,4,0.02,71,,,,,,,,,,,,,,,
16/02/2016 21:05,402262,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
28/01/2016 17:16,402264,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
11/08/2016 10:57,402266,10,0.05,78,0,0,0,6,0.06,71,,,,,,,,,,,,,,,
30/03/2016 7:35,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
09/05/2016 5:24,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
11/04/2016 6:19,402263,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
20/02/2016 17:28,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
03/01/2016 5:51,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
09/06/2016 1:17,402271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
12/07/2016 15:53,402269,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
18/06/2016 5:23,402270,1,0.01,71,3,0.02,71,2,0.04,65,0,0,0,,,,,,,,,,,,
11/04/2016 15:09,402267,0,1,0,11,0.0844,71,11,0.0811,60,,,,,,,,,,,,,,,
30/03/2016 18:12,402268,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
25/05/2016 10:50,402261,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
12/04/2016 2:19,402270,5,0.03,78,3,0.02,71,2,0.01,71,0,0,0,,,,,,,,,,,,
